MarioTime	BioTime	ChannelID	Data
baseline	1353074011079	2	674.0
baseline	1353074011080	2	675.0
baseline	1353074011081	2	675.0
baseline	1353074011081	2	675.0
baseline	1353074011083	2	675.0
baseline	1353074011083	2	675.0
baseline	1353074011084	2	675.0
baseline	1353074011084	2	675.0
baseline	1353074011084	2	675.0
baseline	1353074011085	2	675.0
baseline	1353074011085	2	675.0
baseline	1353074011085	2	675.0
baseline	1353074011086	2	676.0
baseline	1353074011086	2	676.0
baseline	1353074011086	2	676.0
baseline	1353074011087	2	676.0
baseline	1353074011580	2	676.0
baseline	1353074011580	2	676.0
baseline	1353074011580	2	676.0
baseline	1353074011581	2	676.0
baseline	1353074011581	2	676.0
baseline	1353074011581	2	676.0
baseline	1353074011581	2	676.0
baseline	1353074011582	2	677.0
baseline	1353074011582	2	677.0
baseline	1353074011582	2	676.0
baseline	1353074011583	2	677.0
baseline	1353074011583	2	677.0
baseline	1353074011583	2	677.0
baseline	1353074011584	2	677.0
baseline	1353074011584	2	677.0
baseline	1353074011584	2	677.0
baseline	1353074012079	2	677.0
baseline	1353074012079	2	677.0
baseline	1353074012080	2	677.0
baseline	1353074012080	2	678.0
baseline	1353074012080	2	678.0
baseline	1353074012081	2	678.0
baseline	1353074012081	2	678.0
baseline	1353074012082	2	678.0
baseline	1353074012082	2	678.0
baseline	1353074012082	2	678.0
baseline	1353074012083	2	678.0
baseline	1353074012083	2	678.0
baseline	1353074012083	2	678.0
baseline	1353074012083	2	678.0
baseline	1353074012084	2	679.0
baseline	1353074012084	2	678.0
baseline	1353074012579	2	678.0
baseline	1353074012580	2	679.0
baseline	1353074012580	2	679.0
baseline	1353074012580	2	679.0
baseline	1353074012580	2	679.0
baseline	1353074012581	2	679.0
baseline	1353074012581	2	679.0
baseline	1353074012582	2	679.0
baseline	1353074012582	2	679.0
baseline	1353074012582	2	680.0
baseline	1353074012582	2	680.0
baseline	1353074012583	2	680.0
baseline	1353074012583	2	680.0
baseline	1353074012583	2	680.0
baseline	1353074012583	2	680.0
baseline	1353074012583	2	680.0
baseline	1353074013080	2	680.0
baseline	1353074013081	2	680.0
baseline	1353074013081	2	680.0
baseline	1353074013082	2	684.0
baseline	1353074013082	2	680.0
baseline	1353074013082	2	681.0
baseline	1353074013082	2	681.0
baseline	1353074013083	2	681.0
baseline	1353074013083	2	681.0
baseline	1353074013083	2	681.0
baseline	1353074013084	2	681.0
baseline	1353074013084	2	681.0
baseline	1353074013085	2	681.0
baseline	1353074013085	2	681.0
baseline	1353074013085	2	682.0
baseline	1353074013086	2	681.0
baseline	1353074013589	2	681.0
baseline	1353074013590	2	682.0
baseline	1353074013590	2	682.0
baseline	1353074013590	2	679.0
baseline	1353074013591	2	682.0
baseline	1353074013591	2	682.0
baseline	1353074013591	2	682.0
baseline	1353074013591	2	682.0
baseline	1353074013592	2	682.0
baseline	1353074013592	2	682.0
baseline	1353074013592	2	682.0
baseline	1353074013593	2	682.0
baseline	1353074013593	2	682.0
baseline	1353074013593	2	682.0
baseline	1353074013593	2	682.0
baseline	1353074013594	2	682.0
baseline	1353074014123	2	682.0
baseline	1353074014124	2	683.0
baseline	1353074014125	2	683.0
baseline	1353074014125	2	685.0
baseline	1353074014126	2	683.0
baseline	1353074014128	2	683.0
baseline	1353074014131	2	683.0
baseline	1353074014137	2	683.0
baseline	1353074014140	2	683.0
baseline	1353074014141	2	683.0
baseline	1353074014142	2	683.0
baseline	1353074014143	2	683.0
baseline	1353074014143	2	683.0
baseline	1353074014143	2	683.0
baseline	1353074014144	2	684.0
baseline	1353074014144	2	684.0
baseline	1353074014581	2	684.0
baseline	1353074014581	2	684.0
baseline	1353074014581	2	684.0
baseline	1353074014582	2	683.0
baseline	1353074014582	2	684.0
baseline	1353074014582	2	684.0
baseline	1353074014583	2	684.0
baseline	1353074014583	2	685.0
baseline	1353074014583	2	684.0
baseline	1353074014583	2	684.0
baseline	1353074014584	2	684.0
baseline	1353074014584	2	685.0
baseline	1353074014584	2	685.0
baseline	1353074014585	2	685.0
baseline	1353074014585	2	685.0
baseline	1353074014585	2	684.0
baseline	1353074015080	2	684.0
baseline	1353074015080	2	685.0
baseline	1353074015080	2	685.0
baseline	1353074015081	2	684.0
baseline	1353074015081	2	686.0
baseline	1353074015081	2	685.0
baseline	1353074015082	2	685.0
baseline	1353074015082	2	685.0
baseline	1353074015082	2	686.0
baseline	1353074015083	2	686.0
baseline	1353074015083	2	686.0
baseline	1353074015083	2	686.0
baseline	1353074015084	2	686.0
baseline	1353074015084	2	686.0
baseline	1353074015084	2	686.0
baseline	1353074015084	2	685.0
baseline	1353074015581	2	685.0
baseline	1353074015581	2	686.0
baseline	1353074015582	2	686.0
baseline	1353074015583	2	686.0
baseline	1353074015583	2	686.0
baseline	1353074015583	2	686.0
baseline	1353074015584	2	687.0
baseline	1353074015584	2	687.0
baseline	1353074015584	2	687.0
