MarioTime	BioTime	ChannelID	Data
baseline	1353077728836	2	1005.0
baseline	1353077728836	2	1006.0
baseline	1353077728836	2	1007.0
baseline	1353077728837	2	1006.0
baseline	1353077728837	2	1006.0
baseline	1353077728837	2	1006.0
baseline	1353077728838	2	1006.0
baseline	1353077728838	2	1006.0
baseline	1353077728838	2	1007.0
baseline	1353077728838	2	1007.0
baseline	1353077728839	2	1006.0
baseline	1353077728839	2	1007.0
baseline	1353077728839	2	1007.0
baseline	1353077728840	2	1007.0
baseline	1353077728840	2	1007.0
baseline	1353077728840	2	1006.0
baseline	1353077729336	2	1006.0
baseline	1353077729336	2	1007.0
baseline	1353077729337	2	1007.0
baseline	1353077729337	2	1007.0
baseline	1353077729337	2	1007.0
baseline	1353077729338	2	1007.0
baseline	1353077729338	2	1007.0
baseline	1353077729338	2	1007.0
baseline	1353077729339	2	1007.0
baseline	1353077729339	2	1007.0
baseline	1353077729339	2	1007.0
baseline	1353077729339	2	1007.0
baseline	1353077729340	2	1007.0
baseline	1353077729340	2	1007.0
baseline	1353077729340	2	1007.0
baseline	1353077729341	2	1007.0
baseline	1353077729934	2	1007.0
baseline	1353077729934	2	1008.0
baseline	1353077729934	2	1007.0
baseline	1353077729935	2	1008.0
baseline	1353077729935	2	1008.0
baseline	1353077729935	2	1008.0
baseline	1353077729936	2	1007.0
baseline	1353077729936	2	1008.0
baseline	1353077729936	2	1008.0
baseline	1353077729937	2	1008.0
baseline	1353077729937	2	1008.0
baseline	1353077729937	2	1008.0
baseline	1353077729937	2	1008.0
baseline	1353077729938	2	1008.0
baseline	1353077729938	2	1009.0
baseline	1353077729938	2	1007.0
baseline	1353077730335	2	1007.0
baseline	1353077730335	2	1009.0
baseline	1353077730336	2	1008.0
baseline	1353077730336	2	1009.0
baseline	1353077730336	2	1008.0
baseline	1353077730337	2	1008.0
baseline	1353077730337	2	1009.0
baseline	1353077730337	2	1009.0
baseline	1353077730337	2	1009.0
baseline	1353077730338	2	1009.0
baseline	1353077730338	2	1009.0
baseline	1353077730338	2	1009.0
baseline	1353077730338	2	1009.0
baseline	1353077730339	2	1009.0
baseline	1353077730339	2	1009.0
baseline	1353077730339	2	1008.0
baseline	1353077730836	2	1008.0
baseline	1353077730837	2	1009.0
baseline	1353077730837	2	1009.0
baseline	1353077730837	2	1010.0
baseline	1353077730838	2	1009.0
baseline	1353077730838	2	1009.0
baseline	1353077730838	2	1009.0
baseline	1353077730839	2	1009.0
baseline	1353077730839	2	1009.0
baseline	1353077730839	2	1009.0
baseline	1353077730839	2	1010.0
baseline	1353077730840	2	1010.0
baseline	1353077730840	2	1010.0
baseline	1353077730840	2	1010.0
baseline	1353077730841	2	1010.0
baseline	1353077730841	2	1009.0
baseline	1353077731336	2	1009.0
baseline	1353077731336	2	1010.0
baseline	1353077731336	2	1010.0
baseline	1353077731337	2	1012.0
baseline	1353077731337	2	1010.0
