MarioTime	BioTime	ChannelID	Data
baseline	1353078933221	2	864.0
baseline	1353078933222	2	866.0
baseline	1353078933222	2	866.0
baseline	1353078933222	2	866.0
baseline	1353078933223	2	867.0
baseline	1353078933223	2	867.0
baseline	1353078933223	2	867.0
baseline	1353078933224	2	867.0
baseline	1353078933224	2	867.0
baseline	1353078933224	2	868.0
baseline	1353078933225	2	868.0
baseline	1353078933225	2	868.0
baseline	1353078933225	2	869.0
baseline	1353078933226	2	869.0
baseline	1353078933226	2	869.0
baseline	1353078933226	2	869.0
baseline	1353078933721	2	869.0
baseline	1353078933722	2	870.0
baseline	1353078933722	2	870.0
baseline	1353078933722	2	871.0
baseline	1353078933723	2	871.0
baseline	1353078933723	2	871.0
baseline	1353078933723	2	872.0
baseline	1353078933724	2	872.0
baseline	1353078933724	2	872.0
baseline	1353078933724	2	873.0
baseline	1353078933725	2	873.0
baseline	1353078933725	2	873.0
baseline	1353078933725	2	873.0
baseline	1353078933726	2	873.0
baseline	1353078933726	2	873.0
baseline	1353078933726	2	873.0
baseline	1353078934221	2	873.0
baseline	1353078934222	2	875.0
baseline	1353078934222	2	875.0
baseline	1353078934222	2	875.0
baseline	1353078934223	2	875.0
baseline	1353078934223	2	875.0
baseline	1353078934223	2	876.0
baseline	1353078934224	2	876.0
baseline	1353078934224	2	876.0
baseline	1353078934224	2	877.0
baseline	1353078934225	2	877.0
baseline	1353078934225	2	877.0
baseline	1353078934225	2	878.0
baseline	1353078934225	2	878.0
baseline	1353078934225	2	878.0
baseline	1353078934226	2	878.0
baseline	1353078934721	2	878.0
baseline	1353078934721	2	879.0
baseline	1353078934722	2	879.0
baseline	1353078934722	2	879.0
baseline	1353078934722	2	879.0
baseline	1353078934723	2	880.0
baseline	1353078934723	2	880.0
baseline	1353078934723	2	880.0
baseline	1353078934724	2	881.0
baseline	1353078934724	2	881.0
baseline	1353078934724	2	881.0
baseline	1353078934725	2	882.0
baseline	1353078934725	2	881.0
baseline	1353078934725	2	882.0
baseline	1353078934725	2	882.0
baseline	1353078934726	2	882.0
baseline	1353078935223	2	882.0
